level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	8	1	16	1	751	369	51	15	96.419724	68,848
4	1	8	1	17	0	751	394	51	15	-1	
5	1	8	1	17	1	751	394	51	15	96.645454	67,505
4	1	8	1	18	0	751	417	51	15	-1	
5	1	8	1	18	1	751	417	51	15	96.633575	62,196
4	1	8	1	19	0	751	442	51	15	-1	
5	1	8	1	19	1	751	442	51	15	96.481651	62,856
4	1	8	1	20	0	751	466	49	15	-1	
5	1	8	1	20	1	751	466	49	15	96.500031	61,961
4	1	8	1	21	0	751	491	51	15	-1	
5	1	8	1	21	1	751	491	51	15	95.892616	65,955
4	1	8	1	22	0	721	515	81	15	-1	
5	1	8	1	22	1	721	515	81	15	95.980988	3,069,439
2	1	9	0	0	0	836	5	82	525	-1	
3	1	9	1	0	0	836	5	82	525	-1	
4	1	9	1	1	0	866	5	51	15	-1	
5	1	9	1	1	1	866	5	51	15	96.457542	61,899
4	1	9	1	2	0	867	29	50	15	-1	
5	1	9	1	2	1	867	29	50	15	96.755295	57,509
4	1	9	1	3	0	866	53	51	15	-1	
5	1	9	1	3	1	866	53	51	15	95.601326	61,362
4	1	9	1	4	0	867	77	51	15	-1	
5	1	9	1	4	1	867	77	51	15	95.945778	56,124
4	1	9	1	5	0	867	102	51	15	-1	
5	1	9	1	5	1	867	102	51	15	96.684586	56,074
4	1	9	1	6	0	867	126	51	15	-1	
5	1	9	1	6	1	867	126	51	15	96.259140	58,954
4	1	9	1	7	0	867	151	50	15	-1	
5	1	9	1	7	1	867	151	50	15	96.635559	59,123
4	1	9	1	8	0	866	174	51	15	-1	
5	1	9	1	8	1	866	174	51	15	96.330635	61,595
4	1	9	1	9	0	851	199	67	15	-1	
5	1	9	1	9	1	851	199	67	15	83.997223	731,637
4	1	9	1	10	0	866	223	51	15	-1	
5	1	9	1	10	1	866	223	51	15	95.370384	61,433
4	1	9	1	11	0	867	248	50	15	-1	
5	1	9	1	11	1	867	248	50	15	96.785797	56,995
4	1	9	1	12	0	866	272	51	15	-1	
5	1	9	1	12	1	866	272	51	15	92.145943	64,732
4	1	9	1	13	0	866	296	52	15	-1	
5	1	9	1	13	1	866	296	52	15	94.563461	63,180
4	1	9	1	14	0	866	320	51	15	-1	
5	1	9	1	14	1	866	320	51	15	92.973000	63,762
4	1	9	1	15	0	866	345	51	15	-1	
5	1	9	1	15	1	866	345	51	15	94.076027	63,575
4	1	9	1	16	0	866	369	52	15	-1	
5	1	9	1	16	1	866	369	52	15	94.553780	65,638
4	1	9	1	17	0	866	394	52	15	-1	
5	1	9	1	17	1	866	394	52	15	89.996796	64,467
4	1	9	1	18	0	867	417	51	15	-1	
5	1	9	1	18	1	867	417	51	15	96.783737	56,900
4	1	9	1	19	0	867	442	48	15	-1	
5	1	9	1	19	1	867	442	48	15	93.858131	54,431
4	1	9	1	20	0	867	466	51	15	-1	
5	1	9	1	20	1	867	466	51	15	95.795532	56,367
4	1	9	1	21	0	866	491	52	15	-1	
5	1	9	1	21	1	866	491	52	15	95.963257	60,157
4	1	9	1	22	0	836	515	82	15	-1	
5	1	9	1	22	1	836	515	82	15	93.270981	2,887,888
2	1	10	0	0	0	944	5	82	525	-1	
3	1	10	1	0	0	944	5	82	525	-1	
4	1	10	1	1	0	975	5	51	15	-1	
5	1	10	1	1	1	975	5	51	15	95.907219	59,544
4	1	10	1	2	0	975	29	51	15	-1	
5	1	10	1	2	1	975	29	51	15	95.226822	55,064
4	1	10	1	3	0	975	53	51	15	-1	
5	1	10	1	3	1	975	53	51	15	96.282318	59,104
4	1	10	1	4	0	975	77	48	15	-1	
5	1	10	1	4	1	975	77	48	15	96.760132	54,001
4	1	10	1	5	0	975	102	50	15	-1	
5	1	10	1	5	1	975	102	50	15	96.676414	54,705
4	1	10	1	6	0	975	126	51	15	-1	
5	1	10	1	6	1	975	126	51	15	94.988297	57,226
4	1	10	1	7	0	975	151	51	15	-1	
5	1	10	1	7	1	975	151	51	15	96.281693	55,974
4	1	10	1	8	0	975	174	51	15	-1	
5	1	10	1	8	1	975	174	51	15	96.629105	58,696
4	1	10	1	9	0	960	199	66	15	-1	
5	1	10	1	9	1	960	199	66	15	96.507553	690,706
